Noisy_sentence,Actual_sentence,Corrected_sentence,Top_1_accuracy,Top_3_accuracy
इसकी ऊँचऌाई केवल 1982 मीटर हव ।,इसकी ऊँचाई केवल 1982 मीटर है ।,इसकी ऊँचाई केवल 1982 मीटर हवा ।,50.0,50.0
"यहाँ गौरी मॅंदिर है, जो कळुछ छोटा है और प्राचीन नहीं हपै ।","यहाँ गौरी मंदिर है, जो कुछ छोटा है और प्राचीन नहीं है ।","यहाँ गौरी मंदिर है, जो कुछ छोटा है और प्राचीन नहीं है ।",100.0,100.0
मंदिर में गौरी और पार्वती की धातु ॣफकी मूर्तियाँ हैं ।,मंदिर में गौरी और पार्वती की धातु की मूर्तियाँ हैं ।,मंदिर में गौरी और पार्वती की धातु की मूर्तियाँ हैं ।,100.0,100.0
मंदिर केय गर्भगृह मेंई नारायण भगवान की सुंदर मूळ्ति है ।,मंदिर के गर्भगृह में नारायण भगवान की सुंदर मूर्ति है ।,मंदिर केयर गर्भगृह में नारायण भगवान की सुंदर मूर्ति है ।,66.66666666666666,100.0
यहाँ अनेक कृुंड भी हैं ।,यहाँ अनेक कुंड भी हैं ।,यहाँ अनेक कुंड भी हैं ।,100.0,100.0
"इनके नाम ब्रहड्म कुंड, रुद्र कुंसड और ॎसरस्वती कुंड हैं ।","इनके नाम ब्रह्म कुंड, रुद्र कुंड और सरस्वती कुंड हैं ।","इनके नाम ब्रह्मा कुंड, रुद्र कुंड और सरस्वती कुंड हैं ।",66.66666666666666,66.66666666666666
इस मंदिर मेंम अखंड धूनी जलती रहतॡ है ।,इस मंदिर में अखंड धूनी जलती रहती है ।,इस मंदिर में अखंड धूनी जलती रहते है ।,50.0,100.0
ेारतीय सेना करती है व्यवस्था ।,भारतीय सेना करती है व्यवस्था ।,भारतीय सेना करती है व्यवस्था ।,100.0,100.0
6 माह तक दीपक जलॅतजा रहता है ।,6 माह तक दीपक जलता रहता है ।,6 माह तक दीपक जाता रहता है ।,0.0,0.0
भोज ॓ा खर्च भारतीय ऎसेना उठाती है ।,भोज का खर्च भारतीय सेना उठाती है ।,भोज का खर्च भारतीय सेना उठाती है ।,100.0,100.0
प्रायः 10 कििी पैदल यात्रा ऺरनी पड़ती है ।,प्रायः 10 किमी पैदल यात्रा करनी पड़ती है ।,प्रायः 10 किसी पैदल यात्रा करनी पड़ती है ।,50.0,100.0
तब उत्तराखंड कऍ यात्रा आरंभ होती है ु,तब उत्तराखंड की यात्रा आरंभ होती है ।,तब उत्तराखंड के यात्रा आरंभ होती है व,0.0,50.0
माँ महाशक्दि के बाझरे में अनेक कथाएँ प्रच॑ित हैं ।,माँ महाशक्ति के बारे में अनेक कथाएँ प्रचलित हैं ।,माँ महाशक्ति के बारे में अनेक कथाएँ प्रचलित हैं ।,100.0,100.0
